G/L Account	Company Code	Chart of Accounts	Tax Category	Language Key	Short Text	G/L Acct Long Text	Hierarchy Level	ID	Text	IDoc number	Message Text
190200	2000	DCOA		EN	Dividends	Dividends	0	0		0	
190500	2000	DCOA	+	EN	Admin License fees	Admin License fees	0	0		0	
200000	1000	DCOA	-	EN	Wages & salaries-APS	Wages & salaries-APS	0	0		0	
200000	5000	DCOA	-	EN	Wages & salaries-APS	Wages & salaries-APS	0	0		0	
200300	1000	DCOA		EN	FBT-APS	FBT-APS	0	0		0	
200300	5000	DCOA		EN	FBT-APS	FBT-APS	0	0		0	
200500	1000	DCOA	-	EN	Medical expenses-APS	Medical expenses-APS	0	0		0	
200500	5000	DCOA	-	EN	Medical expenses-APS	Medical expenses-APS	0	0		0	
200501	1000	DCOA	-	EN	APS Health - other	APS health - Other health service fees	0	0		0	
200501	5000	DCOA	-	EN	APS Health - other	APS health - Other health service fees	0	0		0	
200600	1000	DCOA	-	EN	Course fees-APS	Course fees-APS	0	0		0	
200600	5000	DCOA	-	EN	Course fees-APS	Course fees-APS	0	0		0	
200602	1000	DCOA	-	EN	TravelAPS-MemReunion	Travel APS - Member reunion	0	0		0	
200602	5000	DCOA	-	EN	TravelAPS-MemReunion	Travel APS - Member reunion	0	0		0	
200603	1000	DCOA		EN	Cap offset-Civi	Civilian capitalisation offset	0	0		0	
200603	5000	DCOA		EN	Cap offset-Civi	Civilian capitalisation offset	0	0		0	
200604	1000	DCOA	-	EN	TravelAPS-RLL:ATO	Travel APS - Remote locality leave: ATO defined	0	0		0	
200604	5000	DCOA	-	EN	TravelAPS-RLL:ATO	Travel APS - Remote locality leave: ATO defined	0	0		0	
200605	1000	DCOA	-	EN	Stud Reunion Trav Ot	Travel APS - Student reunion (other)	0	0		0	
200605	5000	DCOA	-	EN	Stud Reunion Trav Ot	Travel APS - Student reunion (other)	0	0		0	
200606	1000	DCOA	-	EN	Dep's Reunion Trav	Travel APS - Dependants reunion	0	0		0	
200606	5000	DCOA	-	EN	Dep's Reunion Trav	Travel APS - Dependants reunion	0	0		0	
200607	1000	DCOA	-	EN	APS WF over progras	APS Workforce Over Programming	0	0		0	
200702	1000	DCOA	-	EN	TravelAPS-RLL:Family	Travel APS - Remote Local leave:Family visitingRPL	0	0		0	
200702	5000	DCOA	-	EN	TravelAPS-RLL:Family	Travel APS - Remote Local leave:Family visitingRPL	0	0		0	
201150	1000	DCOA		EN	ADF Super Contrib	ADF Super Employer Contributions	0	0		0	
201150	5000	DCOA		EN	ADF Super Contrib	ADF Super Employer Contributions	0	0		0	
201200	1000	DCOA	-	EN	Operating leases-ADF	Operating leases - ADF	0	0		0	
201200	5000	DCOA	-	EN	Operating leases-ADF	Operating leases - ADF	0	0		0	
201201	1000	DCOA	-	EN	Rep & maint-ADF	Repairs & maintenance-ADF	0	0		0	
201201	5000	DCOA	-	EN	Rep & maint-ADF	Repairs & maintenance-ADF	0	0		0	
201400	1000	DCOA		EN	FBT - ADF	FBT - ADF	0	0		0	
201400	5000	DCOA		EN	FBT - ADF	FBT - ADF	0	0		0	
201500	1000	DCOA	*	EN	Overseas allow-ADF	Overseas allowances - ADF	0	0		0	
201500	5000	DCOA	*	EN	Overseas allow-ADF	Overseas allowances - ADF	0	0		0	
201502	1000	DCOA		EN	Oth OS allow-FBT-ADF	Other overseas allowances - FBT - ADF	0	0		0	
201502	5000	DCOA		EN	Oth OS allow-FBT-ADF	Other overseas allowances - FBT - ADF	0	0		0	
201700	1000	DCOA	*	EN	Allowances - ADF	Allowances - ADF	0	0		0	
201700	5000	DCOA	*	EN	Allowances - ADF	Allowances - ADF	0	0		0	
201701	1000	DCOA	*	EN	Other allowances ADF	Other allowances - ADF	0	0		0	
201701	5000	DCOA	*	EN	Other allowances ADF	Other allowances - ADF	0	0		0	
201702	1000	DCOA	*	EN	Xtra Tuitn Allw-ADF	Extra tuition allowance - ADF	0	0		0	
201702	5000	DCOA	*	EN	Xtra Tuitn Allw-ADF	Extra tuition allowance - ADF	0	0		0	
201800	1000	DCOA	-	EN	Medical expenses-ADF	Medical expenses-ADF	0	0		0	
201800	5000	DCOA	-	EN	Medical expenses-ADF	Medical expenses-ADF	0	0		0	
201801	1000	DCOA	-	EN	ADFHlth- osea	ADF health - Overseas posts	0	0		0	
201801	5000	DCOA	-	EN	ADFHlth- osea	ADF health - Overseas posts	0	0		0	
201901	1000	DCOA	-	EN	Medical expenses-ADF	Medical expenses - ADF	0	0		0	
201901	5000	DCOA	-	EN	Medical expenses-ADF	Medical expenses - ADF	0	0		0	
201902	1000	DCOA	-	EN	Funerals - ADF	Funerals - ADF	0	0		0	
201902	5000	DCOA	-	EN	Funerals - ADF	Funerals - ADF	0	0		0	
201905	1000	DCOA	-	EN	Travel - ADF	Travel - ADF	0	0		0	
